speciesIndex	x
1	1.33333333333333
2	1.5
3	0.5
4	0.666666666666667
5	1.33333333333333
6	1.33333333333333
7	1.16666666666667
8	1.16666666666667
9	1.16666666666667
10	1
11	1
12	1
13	1
14	1.33333333333333
15	2
16	1.16666666666667
17	1.16666666666667
18	1.16666666666667
19	1.16666666666667
20	1
21	1.33333333333333
22	1.5
23	1.5
24	1.5
25	0.166666666666667
26	0.166666666666667
27	0.166666666666667
28	0.333333333333333
29	0.166666666666667
30	0.166666666666667
31	0.166666666666667
32	1.16666666666667
33	1.16666666666667
34	0.833333333333333
35	1.16666666666667
36	1.16666666666667
37	0.666666666666667
38	0.666666666666667
39	0.5
40	0.833333333333333
41	0.666666666666667
42	0.5
43	0.666666666666667
44	0.666666666666667
45	0.5
46	0.5
47	0.5
48	0.5
49	0.333333333333333
50	0.333333333333333
51	0.333333333333333
52	0.333333333333333
53	0.333333333333333
54	0.333333333333333
55	0.333333333333333
56	0.333333333333333
57	0.166666666666667
58	0.333333333333333
59	0.166666666666667
60	0.333333333333333
61	0.333333333333333
62	1.16666666666667
63	1.16666666666667
64	1.16666666666667
65	1
66	1.16666666666667
67	1.16666666666667
68	1.16666666666667
69	1.16666666666667
70	1.16666666666667
71	1.16666666666667
72	0.166666666666667
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	1.83333333333333
81	2
82	1.83333333333333
83	2
84	2
85	2
86	1.83333333333333
87	2
88	1.83333333333333
89	2
90	1.83333333333333
91	1.83333333333333
92	1.83333333333333
93	1.83333333333333
94	1.83333333333333
95	1.83333333333333
96	1.83333333333333
97	1.83333333333333
98	2
99	2
100	2
101	1.83333333333333
102	1.83333333333333
103	1.83333333333333
104	1.83333333333333
105	2
106	2
107	1.83333333333333
108	1.83333333333333
109	2
110	2
111	2
112	2
113	1.5
114	1.83333333333333
115	1.83333333333333
116	2
117	2
118	2
119	1.66666666666667
120	1.83333333333333
121	1.83333333333333
122	2.16666666666667
123	2.16666666666667
124	2
125	2
126	2
127	2
128	2
129	2.16666666666667
130	1.66666666666667
131	2
132	1.83333333333333
133	2
134	1.83333333333333
135	2
136	1.83333333333333
137	1.83333333333333
138	1.83333333333333
139	1.83333333333333
140	1.83333333333333
141	2
142	1.83333333333333
143	2
144	1.83333333333333
145	1.83333333333333
146	1.83333333333333
147	2
148	1.83333333333333
149	1.83333333333333
150	2
151	1.5
152	1.33333333333333
153	1.5
154	1.5
155	1.33333333333333
156	1.5
157	1.5
158	1.5
159	1.33333333333333
160	1.5
161	1.5
162	1.5
163	1.5
164	1.5
165	1.5
166	1.5
167	1.5
168	1.33333333333333
169	1.5
170	1.5
171	1.5
172	1.33333333333333
173	1.33333333333333
174	1.33333333333333
175	1.33333333333333
176	1.33333333333333
177	1.5
178	0.333333333333333
179	0.333333333333333
180	0.333333333333333
181	0.333333333333333
182	0
183	0.666666666666667
184	0.666666666666667
185	0.666666666666667
186	0.666666666666667
187	0
188	2
189	2
190	1.83333333333333
191	1.83333333333333
192	2
193	2
194	2
195	2
196	1.83333333333333
197	1.16666666666667
198	1.83333333333333
199	1.83333333333333
200	2.5
201	2
202	1.83333333333333
203	1.83333333333333
204	2
205	1.83333333333333
206	2
207	1.83333333333333
208	1.83333333333333
209	2
210	1.83333333333333
211	2
212	1.83333333333333
213	1.83333333333333
214	2
215	1.66666666666667
216	2
217	2
218	2
219	1.83333333333333
220	2
221	1.83333333333333
222	2
223	1.83333333333333
224	1.83333333333333
225	2.5
226	1.83333333333333
227	1.83333333333333
228	1.83333333333333
229	1.83333333333333
230	1.83333333333333
231	2
232	1.83333333333333
233	2
234	1.33333333333333
235	1.5
236	1.5
237	1.5
238	1.5
239	1.5
240	1.5
241	1.5
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
